,Objective,Turbine Type,Setback Tip Height Multiplier,PPA Multiplier,Number of Turbines,Total Capacity (MW),AEP (GWh),AEP with Losses (GWh),Annual Cost ($MM),Annual Income ($MM),COE ($/MWh),Boundary Area (km^2),Available Area (km^2),Boundary Capacity Density (MW/km^2),Available Capactiy Density (MW/km^2),PPA ($/MWh),Profit ($MM)
0,coe,3,2.0,1.2,16.0,112.0,411.8317613087908,375.5905663136172,10.485516409033067,12.401694212537224,27.91741153657647,62.11826518311771,4.562940222312614,1.80301236149845,24.545576874385517,33.01918451855321,1.916177803504156
1,coe,3,3.0,1.2,10.0,70.0,258.5741460725555,235.8196212181706,6.727252639261525,7.786571586098101,28.527111546149705,62.11826518311771,0.1212369391557932,1.1268827259365313,577.3817822144771,33.01918451855321,1.059318946836577
2,profit,3,2.0,1.2,16.0,112.0,411.8317613087908,375.5905663136172,10.485516409033067,12.401694212537224,27.91741153657647,62.11826518311771,4.562940222312614,1.80301236149845,24.545576874385517,33.01918451855321,1.916177803504156
3,profit,3,3.0,1.2,10.0,70.0,258.5741460725555,235.8196212181706,6.727252639261525,7.786571586098101,28.527111546149705,62.11826518311771,0.1212369391557932,1.1268827259365313,577.3817822144771,33.01918451855321,1.059318946836577
