,Objective,Turbine Type,Setback Tip Height Multiplier,PPA Multiplier,Number of Turbines,Total Capacity (MW),AEP (GWh),AEP with Losses (GWh),Annual Cost ($MM),Annual Income ($MM),COE ($/MWh),Boundary Area (km^2),Available Area (km^2),Boundary Capacity Density (MW/km^2),Available Capactiy Density (MW/km^2),PPA ($/MWh),Profit ($MM)
0,aep,1,0.0,1.01,223.0,541.89,1240.7733077971714,1131.5852567110203,68.45822314107139,53.21977155779078,60.49762731978927,62.11826518311771,62.11826518311771,8.723521147967812,8.723521147967812,47.031163796243966,-15.2384515832806
1,aep,1,0.0,1.05,223.0,541.89,1240.7733077971714,1131.5852567110203,68.45822314107139,55.327485282851804,60.49762731978927,62.11826518311771,62.11826518311771,8.723521147967812,8.723521147967812,48.893784144610066,-13.130737858219579
2,aep,1,0.0,1.1,223.0,541.89,1240.7733077971714,1131.5852567110203,68.45822314107139,57.96212743917807,60.49762731978927,62.11826518311771,62.11826518311771,8.723521147967812,8.723521147967812,51.222059580067686,-10.496095701893307
3,aep,1,0.0,1.2,223.0,541.89,1240.7733077971714,1131.5852567110203,68.45822314107139,63.23141175183062,60.49762731978927,62.11826518311771,62.11826518311771,8.723521147967812,8.723521147967812,55.878610450982926,-5.226811389240757
4,aep,1,1.1,1.01,135.0,328.05,880.2478180646762,802.7860100749847,41.89585918718459,37.75596033316976,52.18807834390548,62.11826518311771,30.94150167323403,5.281055403478272,10.602264992321944,47.031163796243966,-4.139898854014836
5,aep,1,1.1,1.05,135.0,328.05,880.2478180646762,802.7860100749847,41.89585918718459,39.25124589091906,52.18807834390548,62.11826518311771,30.94150167323403,5.281055403478272,10.602264992321944,48.893784144610066,-2.644613296265535
6,aep,1,1.1,1.1,135.0,328.05,880.2478180646762,802.7860100749847,41.89585918718459,41.12035283810568,52.18807834390548,62.11826518311771,30.94150167323403,5.281055403478272,10.602264992321944,51.222059580067686,-0.775506349078916
7,aep,1,1.1,1.2,135.0,328.05,880.2478180646762,802.7860100749847,41.89585918718459,44.85856673247893,52.18807834390548,62.11826518311771,30.94150167323403,5.281055403478272,10.602264992321944,55.878610450982926,2.9627075452943297
8,aep,1,2.0,1.01,96.0,233.28000000000003,666.5260693954609,607.8717752886603,30.084705994640064,28.58891703071459,49.49186196439821,62.11826518311771,15.083328709573157,3.755417175806772,15.466082089157203,47.031163796243966,-1.4957889639254733
9,aep,1,2.0,1.05,96.0,233.28000000000003,666.5260693954609,607.8717752886603,30.084705994640064,29.721151368564673,49.49186196439821,62.11826518311771,15.083328709573157,3.755417175806772,15.466082089157203,48.893784144610066,-0.36355462607539074
10,aep,1,2.0,1.1,96.0,233.28000000000003,666.5260693954609,607.8717752886603,30.084705994640064,31.136444290877275,49.49186196439821,62.11826518311771,15.083328709573157,3.755417175806772,15.466082089157203,51.222059580067686,1.0517382962372117
11,aep,1,2.0,1.2,96.0,233.28000000000003,666.5260693954609,607.8717752886603,30.084705994640064,33.96703013550248,49.49186196439821,62.11826518311771,15.083328709573157,3.755417175806772,15.466082089157203,55.878610450982926,3.8823241408624165
12,aep,1,3.0,1.01,33.0,80.19000000000001,248.56463305392518,226.69094534517976,10.735353849592439,10.661538981654537,47.356782747744234,62.11826518311771,5.663412013457364,1.290924654183578,14.15930887766121,47.031163796243966,-0.07381486793790198
13,aep,1,3.0,1.05,33.0,80.19000000000001,248.56463305392518,226.69094534517976,10.735353849592439,11.083778149244816,47.356782747744234,62.11826518311771,5.663412013457364,1.290924654183578,14.15930887766121,48.893784144610066,0.34842429965237715
14,aep,1,3.0,1.1,33.0,80.19000000000001,248.56463305392518,226.69094534517976,10.735353849592439,11.611577108732664,47.356782747744234,62.11826518311771,5.663412013457364,1.290924654183578,14.15930887766121,51.222059580067686,0.8762232591402251
15,aep,1,3.0,1.2,33.0,80.19000000000001,248.56463305392518,226.69094534517976,10.735353849592439,12.66717502770836,47.356782747744234,62.11826518311771,5.663412013457364,1.290924654183578,14.15930887766121,55.878610450982926,1.9318211781159211
16,aep,2,0.0,1.01,99.0,544.5,1591.942114165031,1451.851208118508,58.67650667199835,51.867120295109125,40.414958739496974,62.11826518311771,62.11826518311771,8.76553777532059,8.76553777532059,35.72481808402741,-6.809386376889221
17,aep,2,0.0,1.05,99.0,544.5,1591.942114165031,1451.851208118508,58.67650667199835,53.92126367313325,40.414958739496974,62.11826518311771,62.11826518311771,8.76553777532059,8.76553777532059,37.139662364582954,-4.755242998865098
18,aep,2,0.0,1.1,99.0,544.5,1591.942114165031,1451.851208118508,58.67650667199835,56.488942895663406,40.414958739496974,62.11826518311771,62.11826518311771,8.76553777532059,8.76553777532059,38.90821771527738,-2.1875637763349416
19,aep,2,0.0,1.2,99.0,544.5,1591.942114165031,1451.851208118508,58.67650667199835,61.62430134072371,40.414958739496974,62.11826518311771,62.11826518311771,8.76553777532059,8.76553777532059,42.44532841666623,2.947794668725364
20,aep,2,1.1,1.01,58.0,319.0,1047.0978660621347,954.9532538486669,34.7782285345827,34.115531272493676,36.418775887111714,62.11826518311771,21.943983203670456,5.1353655653393355,14.537014407969586,35.72481808402741,-0.6626972620890289
21,aep,2,1.1,1.05,58.0,319.0,1047.0978660621347,954.9532538486669,34.7782285345827,35.46664142189936,36.418775887111714,62.11826518311771,21.943983203670456,5.1353655653393355,14.537014407969586,37.139662364582954,0.6884128873166591
